league,season,team,player,nation,pos,age,born,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Brighton,Joël Veltman,NED,DF,32,1992,0.28236827,0.0561088,0.1734977,-0.63242567,-0.15853068,0.45569563,0.058672547,-0.4692627,-0.64976186,0.23163994
ENG-Premier League,2024 - 2025,Brighton,Kaoru Mitoma,JPN,"FW,MF",27,1997,-0.051117867,0.25891,0.4868859,0.42371693,0.86786604,-0.4101414,-0.1737617,0.30209658,-0.46093294,-0.4416124
ENG-Premier League,2024 - 2025,Brighton,Lewis Dunk,ENG,DF,32,1991,0.8203832,-0.21020994,-0.111930825,-0.42920998,-0.66498226,0.23388512,0.45879692,0.19657019,-0.6444542,0.7787502
ENG-Premier League,2024 - 2025,Brighton,Mats Wieffer,NED,"DF,MF",24,1999,-0.6544078,0.15981379,-0.22391833,-0.5854558,0.008316955,0.7300615,-0.08863736,-0.12455017,-0.719245,0.5466774
ENG-Premier League,2024 - 2025,Brighton,Matt O'Riley,DEN,MF,23,2000,-0.23772489,-0.7069443,-0.008119624,-0.12014532,0.044446565,0.85075945,-0.100665495,-0.42196998,-0.23654005,0.57979244
ENG-Premier League,2024 - 2025,Brighton,Pervis Estupiñán,ECU,DF,26,1998,0.6075165,0.29260036,-0.17254107,-0.123739645,0.2916508,0.028908117,0.15136279,-0.088361986,-0.69785386,0.12150918
ENG-Premier League,2024 - 2025,Brighton,Simon Adingra,CIV,"FW,MF",22,2002,-0.18769304,-0.45267963,0.38525152,0.036065966,0.6816198,0.61132187,-0.065592125,-0.26019308,-0.56719315,0.3577507
ENG-Premier League,2024 - 2025,Brighton,Yankuba Minteh,GAM,"FW,MF",20,2004,-0.2550361,0.23096421,0.62047005,0.48219872,0.88083005,-0.27532443,-0.37296796,-0.054260466,-0.7164539,0.29831317
ENG-Premier League,2024 - 2025,Brighton,Yasin Ayari,SWE,MF,20,2003,-0.17693645,0.11742906,0.034227293,-0.17767164,0.4033065,0.1819159,-0.00826701,-0.14642058,-0.44703248,0.14206955
ENG-Premier League,2024 - 2025,Chelsea,Christopher Nkunku,FRA,FW,26,1997,-0.77322114,-0.7814766,-0.18333682,-0.6283137,0.596559,0.86111295,-0.123123065,0.2347109,-0.33249277,0.4389941
ENG-Premier League,2024 - 2025,Chelsea,Cole Palmer,ENG,"MF,FW",22,2002,0.6141499,-0.18410717,-0.41232324,0.5777906,0.08701313,0.73971355,-0.6065353,0.056639094,0.48614442,-0.60012925
ENG-Premier League,2024 - 2025,Chelsea,Enzo Fernández,ARG,MF,23,2001,0.064716645,0.5381023,-0.55265856,0.16865276,-0.04986814,0.19073783,-0.29511422,0.17187078,-0.14439757,-0.38146606
ENG-Premier League,2024 - 2025,Chelsea,Jadon Sancho,ENG,FW,24,2000,0.22460729,-0.4233634,0.3184847,0.46339896,0.36596143,0.21073535,0.21632248,0.18383616,-0.4772212,0.3826401
