target_player,target_season,model_used,rank,player,age,team,pos,league,season,Match %
Erling Haaland,2024 - 2025,Relu,5,Victor Osimhen,23,Napoli,FW,ITA-Serie A,2022 - 2023,99.1%
Erling Haaland,2024 - 2025,Tanh,1,Dušan Vlahović,23,Juventus,FW,ITA-Serie A,2023 - 2024,92.5%
Erling Haaland,2024 - 2025,Tanh,2,Thijs Dallinga,22,Toulouse,FW,FRA-Ligue 1,2023 - 2024,89.1%
Erling Haaland,2024 - 2025,Tanh,3,Victor Osimhen,23,Napoli,FW,ITA-Serie A,2022 - 2023,84.7%
Erling Haaland,2024 - 2025,Tanh,4,Loïs Openda,23,RB Leipzig,FW,GER-Bundesliga,2023 - 2024,81.4%
Erling Haaland,2024 - 2025,Tanh,5,Thierno Barry,21,Villarreal,FW,ESP-La Liga,2024 - 2025,80.4%
Erling Haaland,2024 - 2025,Tanh + Dropout,1,Loïs Openda,23,RB Leipzig,FW,GER-Bundesliga,2023 - 2024,88.3%
Erling Haaland,2024 - 2025,Tanh + Dropout,2,Victor Osimhen,23,Napoli,FW,ITA-Serie A,2022 - 2023,84.6%
Erling Haaland,2024 - 2025,Tanh + Dropout,3,Dušan Vlahović,23,Juventus,FW,ITA-Serie A,2023 - 2024,84.5%
Erling Haaland,2024 - 2025,Tanh + Dropout,4,Loïs Openda,22,Lens,FW,FRA-Ligue 1,2022 - 2023,83.5%
Erling Haaland,2024 - 2025,Tanh + Dropout,5,Emanuel Emegha,21,Strasbourg,FW,FRA-Ligue 1,2024 - 2025,75.8%
Kevin De Bruyne,2024 - 2025,Ensemble,1,Alex Baena,23,Villarreal,"MF,FW",ESP-La Liga,2024 - 2025,82.8%
Kevin De Bruyne,2024 - 2025,Ensemble,2,Fares Chaïbi,20,Eint Frankfurt,"MF,FW",GER-Bundesliga,2023 - 2024,80.8%
Kevin De Bruyne,2024 - 2025,Ensemble,3,Arda Güler,19,Real Madrid,"MF,FW",ESP-La Liga,2024 - 2025,79.4%
Kevin De Bruyne,2024 - 2025,Ensemble,4,Harvey Elliott,20,Liverpool,"MF,FW",ENG-Premier League,2023 - 2024,76.6%
Kevin De Bruyne,2024 - 2025,Ensemble,5,Bukayo Saka,22,Arsenal,"FW,MF",ENG-Premier League,2024 - 2025,74.2%
Kevin De Bruyne,2024 - 2025,Mix ReLU,1,Alex Baena,23,Villarreal,"MF,FW",ESP-La Liga,2024 - 2025,99.1%
Kevin De Bruyne,2024 - 2025,Mix ReLU,2,Dominik Szoboszlai,23,Liverpool,MF,ENG-Premier League,2024 - 2025,98.6%
Kevin De Bruyne,2024 - 2025,Mix ReLU,3,Rayan Cherki,20,Lyon,"FW,MF",FRA-Ligue 1,2024 - 2025,98.4%
Kevin De Bruyne,2024 - 2025,Mix ReLU,4,Fares Chaïbi,20,Eint Frankfurt,"MF,FW",GER-Bundesliga,2023 - 2024,98.3%
Kevin De Bruyne,2024 - 2025,Mix ReLU,5,Dominik Szoboszlai,22,Liverpool,MF,ENG-Premier League,2023 - 2024,97.9%
Kevin De Bruyne,2024 - 2025,Mix Tanh,1,Alex Baena,23,Villarreal,"MF,FW",ESP-La Liga,2024 - 2025,80.7%
Kevin De Bruyne,2024 - 2025,Mix Tanh,2,Rayan Cherki,20,Lyon,"FW,MF",FRA-Ligue 1,2024 - 2025,77.6%
Kevin De Bruyne,2024 - 2025,Mix Tanh,3,Fares Chaïbi,20,Eint Frankfurt,"MF,FW",GER-Bundesliga,2023 - 2024,75.5%
Kevin De Bruyne,2024 - 2025,Mix Tanh,4,Giacomo Raspadori,23,Napoli,"FW,MF",ITA-Serie A,2023 - 2024,66.0%
Kevin De Bruyne,2024 - 2025,Mix Tanh,5,Bukayo Saka,22,Arsenal,"FW,MF",ENG-Premier League,2024 - 2025,66.0%
Kevin De Bruyne,2024 - 2025,ReLU + Tanh bottleneck,1,Alex Baena,23,Villarreal,"MF,FW",ESP-La Liga,2024 - 2025,83.1%
Kevin De Bruyne,2024 - 2025,ReLU + Tanh bottleneck,2,Musa Barrow,23,Bologna,"FW,MF",ITA-Serie A,2022 - 2023,80.7%
Kevin De Bruyne,2024 - 2025,ReLU + Tanh bottleneck,3,Fares Chaïbi,20,Eint Frankfurt,"MF,FW",GER-Bundesliga,2023 - 2024,78.7%
Kevin De Bruyne,2024 - 2025,ReLU + Tanh bottleneck,4,Pedro Neto,23,Wolves,"FW,MF",ENG-Premier League,2023 - 2024,78.4%
Kevin De Bruyne,2024 - 2025,ReLU + Tanh bottleneck,5,Bukayo Saka,22,Arsenal,"FW,MF",ENG-Premier League,2024 - 2025,75.9%
Kevin De Bruyne,2024 - 2025,ReLu + Dropout,1,Arda Güler,19,Real Madrid,"MF,FW",ESP-La Liga,2024 - 2025,98.4%
Kevin De Bruyne,2024 - 2025,ReLu + Dropout,2,Alex Baena,23,Villarreal,"MF,FW",ESP-La Liga,2024 - 2025,97.4%
Kevin De Bruyne,2024 - 2025,ReLu + Dropout,3,Giacomo Raspadori,23,Napoli,"FW,MF",ITA-Serie A,2023 - 2024,97.2%
Kevin De Bruyne,2024 - 2025,ReLu + Dropout,4,Harvey Elliott,19,Liverpool,"MF,FW",ENG-Premier League,2022 - 2023,96.9%
Kevin De Bruyne,2024 - 2025,ReLu + Dropout,5,Harvey Elliott,20,Liverpool,"MF,FW",ENG-Premier League,2023 - 2024,96.9%
Kevin De Bruyne,2024 - 2025,Relu,1,Rayan Cherki,20,Lyon,"FW,MF",FRA-Ligue 1,2024 - 2025,98.3%
Kevin De Bruyne,2024 - 2025,Relu,2,Alex Baena,23,Villarreal,"MF,FW",ESP-La Liga,2024 - 2025,97.8%
