league,season,team,player,nation,pos,age,born,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Brentford,Vitaly Janelt,GER,MF,26,1998,-0.49764222,-0.23479503,-0.555945,-0.1782552,-0.3718418,-0.03179864,0.77677864,-0.034896288,0.18659627,-0.42698509
ENG-Premier League,2024 - 2025,Brentford,Yehor Yarmoliuk,UKR,MF,20,2004,-0.70412767,-0.058207165,-0.5431781,-0.5062313,-0.48688385,0.109323174,0.82415026,0.22062834,0.26107192,-0.5671864
ENG-Premier League,2024 - 2025,Brentford,Yoane Wissa,COD,FW,27,1996,-0.07744369,-0.11461251,0.3028159,-0.60495967,-0.04695442,-0.123922415,0.629691,-0.29199758,-0.33296862,-0.73887414
ENG-Premier League,2024 - 2025,Brighton,Carlos Baleba,CMR,MF,20,2004,-0.59514767,0.23782298,-0.5057211,-0.3729546,-0.45154172,0.2142395,0.85685736,0.26252308,-0.21340448,-0.5458769
ENG-Premier League,2024 - 2025,Brighton,Danny Welbeck,ENG,FW,33,1990,-0.26435524,-0.19667083,-0.25205004,-0.5346915,-0.20464264,0.1345618,0.59166414,0.25524563,0.06990921,-0.56547016
ENG-Premier League,2024 - 2025,Brighton,Georginio Rutter,FRA,"MF,FW",22,2002,-0.422274,-0.099584624,-0.26839468,-0.24636622,-0.30421156,0.12481973,0.8733768,0.17564069,0.11331734,-0.802244
ENG-Premier League,2024 - 2025,Brighton,Jack Hinshelwood,ENG,"MF,DF",19,2005,-0.39781523,-0.18926196,-0.46103555,-0.37405583,-0.057276398,0.13438223,0.7226735,-0.25889236,0.16058445,-0.4068201
ENG-Premier League,2024 - 2025,Brighton,Jan Paul van Hecke,NED,DF,24,2000,-0.5830367,0.17373379,-0.4903768,0.0360017,-0.3100957,-0.2087517,0.7772759,0.1765548,-0.17602676,0.26405913
ENG-Premier League,2024 - 2025,Brighton,João Pedro,BRA,"FW,MF",22,2001,-0.14689974,-0.054384172,-0.2854941,-0.11127044,-0.26182625,-0.071569346,0.1660173,0.19950028,0.37633887,-0.6404013
ENG-Premier League,2024 - 2025,Brighton,Joël Veltman,NED,DF,32,1992,-0.72536194,-0.10622855,-0.5845577,-0.32395273,-0.45557365,0.022417028,0.87098855,0.087502405,0.30696037,-0.5060863
ENG-Premier League,2024 - 2025,Brighton,Kaoru Mitoma,JPN,"FW,MF",27,1997,-0.17853907,0.4276212,0.06594259,-0.23884879,-0.3899244,-0.18931448,0.8426327,-0.504079,-0.12754594,-0.7248843
ENG-Premier League,2024 - 2025,Brighton,Lewis Dunk,ENG,DF,32,1991,-0.665502,-0.4006619,-0.6138393,-0.3065726,-0.3452031,-0.13985339,0.7061932,-0.11572922,0.44366154,0.21484192
ENG-Premier League,2024 - 2025,Brighton,Mats Wieffer,NED,"DF,MF",24,1999,-0.36661664,-0.29742593,-0.60742915,-0.51656586,-0.35586515,0.2527991,0.9296943,0.17329788,0.19015884,-0.62483585
ENG-Premier League,2024 - 2025,Brighton,Matt O'Riley,DEN,MF,23,2000,-0.48065904,-0.28932506,-0.32250687,-0.31247872,-0.35340583,0.29797545,0.6583494,0.31139332,0.61614126,-0.5753414
ENG-Premier League,2024 - 2025,Brighton,Pervis Estupiñán,ECU,DF,26,1998,-0.5787969,0.21726824,-0.5741916,-0.028445384,-0.43787566,-0.022884957,0.9120232,-0.13666496,0.16546115,-0.37768883
