league,season,team,player,nation,pos,age,born,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Brentford,Kevin Schade,GER,FW,22,2001,-0.17797281,-0.50685656,-0.0648266,-0.1066254,0.28847298,-0.25193924,0.20506698,-0.5638952,-0.40778673,0.56867224
ENG-Premier League,2024 - 2025,Brentford,Kristoffer Ajer,NOR,DF,26,1998,0.28289822,-0.46660203,-0.49110925,0.28314993,0.34582072,0.14981313,0.009551182,-0.32429668,-0.5911968,0.05127169
ENG-Premier League,2024 - 2025,Brentford,Mads Roerslev,DEN,DF,25,1999,0.35928223,-0.11603151,-0.54485226,0.36772463,0.27221996,0.2175497,0.029149527,-0.5606433,-0.32190546,0.20228426
ENG-Premier League,2024 - 2025,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24,2000,0.40717956,-0.15941393,-0.31041908,-0.34339112,0.09092105,-0.13009213,0.44651672,-0.37775895,0.05590876,0.035105914
ENG-Premier League,2024 - 2025,Brentford,Nathan Collins,IRL,DF,23,2001,-0.14193878,-0.49170402,-0.6357769,-0.47046137,0.44036663,0.09662286,-0.2500732,0.44215024,-0.3432817,-0.31760716
ENG-Premier League,2024 - 2025,Brentford,Sepp van den Berg,NED,DF,22,2001,0.17507313,-0.5811995,-0.5824709,-0.07161255,0.40589568,0.13036853,-0.13413502,0.042683482,-0.6096667,-0.32898706
ENG-Premier League,2024 - 2025,Brentford,Vitaly Janelt,GER,MF,26,1998,0.21980736,-0.300738,-0.62258416,-0.1032362,0.35291973,0.14777134,0.077622235,-0.40094477,-0.26950696,0.038695823
ENG-Premier League,2024 - 2025,Brentford,Yehor Yarmoliuk,UKR,MF,20,2004,0.35601357,-0.2973834,-0.5552105,0.20278384,0.32896742,0.0034117622,0.19869426,-0.5454185,-0.6109007,-0.30533767
ENG-Premier League,2024 - 2025,Brentford,Yoane Wissa,COD,FW,27,1996,-0.34746996,-0.43104315,0.0962566,-0.3978267,0.49824044,0.06308229,0.17161123,-0.7785188,-0.35456502,0.23692203
ENG-Premier League,2024 - 2025,Brighton,Carlos Baleba,CMR,MF,20,2004,0.18955922,-0.22665226,-0.52262723,-0.14993304,0.11341566,-0.34674743,0.37136728,-0.33470273,-0.4156979,-0.30640036
ENG-Premier League,2024 - 2025,Brighton,Danny Welbeck,ENG,FW,33,1990,-0.040518716,-0.24645579,-0.059583843,-0.05682579,0.39685673,0.019101026,-0.041437395,-0.74530727,-0.22225577,-0.19129959
ENG-Premier League,2024 - 2025,Brighton,Georginio Rutter,FRA,"MF,FW",22,2002,0.12489091,-0.37977874,-0.11595781,0.2137904,0.24436468,-0.16319405,0.1388917,-0.5910454,-0.23632064,0.20599544
