league,season,team,player,nation,age,born,preferred_foot,pos,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Brentford,Bryan Mbeumo,CMR,24,1999,Left,RW,0.61092085,-0.48169696,0.4987843,-0.107163705,0.27517033,0.23881091,0.42848474,0.1616103,0.13746968,0.40724838
ENG-Premier League,2024 - 2025,Brentford,Christian Nørgaard,DEN,30,1994,Right,CDM,0.25620773,0.049765095,0.23758592,0.319783,0.5030323,-0.41528443,-0.42354375,-0.06389896,-0.4647605,-0.3624263
ENG-Premier League,2024 - 2025,Brentford,Ethan Pinnock,JAM,31,1993,Left,CB,-0.13263462,0.4276606,-0.40065956,0.66593546,0.4864084,0.56191164,-0.62416846,0.033379562,-0.6236712,-0.12821476
ENG-Premier League,2024 - 2025,Brentford,Keane Lewis-Potter,ENG,23,2001,Right,LB,0.0029883184,-0.42042962,0.018726528,0.5453657,0.70533365,-0.14259788,-0.38043815,0.43287393,-0.01709742,0.010839237
ENG-Premier League,2024 - 2025,Brentford,Kevin Schade,GER,22,2001,Right,LM,-0.5116723,-0.14715941,0.5266658,0.5529753,0.7426151,0.09952141,0.049276073,0.008016467,0.14316148,-0.35528314
ENG-Premier League,2024 - 2025,Brentford,Kristoffer Ajer,NOR,26,1998,Right,RB,-0.35695967,-0.15173441,-0.3232454,0.66189533,0.64715886,0.048314624,-0.4409136,0.061581694,-0.047068603,-0.30786857
ENG-Premier League,2024 - 2025,Brentford,Mads Roerslev,DEN,25,1999,Right,RB,-0.5525023,-0.50148076,-0.53655875,0.45323598,0.66203004,0.15311347,-0.5794665,-0.24142475,-0.017656976,-0.23550114
ENG-Premier League,2024 - 2025,Brentford,Mikkel Damsgaard,DEN,24,2000,Right,CAM,0.23555012,-0.6079973,0.2871819,-0.0153973745,0.37627855,-0.49160954,-0.3687507,0.21850513,-0.2723428,-0.40874633
ENG-Premier League,2024 - 2025,Brentford,Nathan Collins,IRL,23,2001,Right,CB,0.55911034,0.70175725,-0.13425112,0.29508072,0.30351198,0.28651503,-0.51225007,0.62075937,-0.61177486,-0.043032505
ENG-Premier League,2024 - 2025,Brentford,Sepp van den Berg,NED,22,2001,Right,CB,0.045308698,0.45507976,-0.44706193,0.71641904,0.5055699,0.21313858,-0.5804454,0.3513659,-0.28468984,-0.23106952
ENG-Premier League,2024 - 2025,Brentford,Vitaly Janelt,GER,26,1998,Left,CM,-0.07700827,-0.25341073,-0.23044106,0.40026027,0.62764263,0.021003569,-0.46536437,-0.0537568,-0.33693412,-0.13839264
ENG-Premier League,2024 - 2025,Brentford,Yehor Yarmoliuk,UKR,20,2004,Right,CM,-0.1312134,-0.22922479,-0.24750635,0.73784465,0.65900546,-0.27914053,-0.5222286,-0.20706753,-0.025957352,-0.24097505
ENG-Premier League,2024 - 2025,Brentford,Yoane Wissa,COD,27,1996,Right,ST,-0.39505804,0.21338098,0.37838146,0.32514057,0.57102406,-0.27306923,0.40062806,0.051797204,-0.06016515,0.06124507
ENG-Premier League,2024 - 2025,Brighton,Carlos Baleba,CMR,20,2004,Left,CDM,0.13739483,-0.25357288,0.2729507,0.63328457,0.41916016,-0.38827303,-0.49664906,-0.06401097,-0.064167425,-0.26268244
ENG-Premier League,2024 - 2025,Brighton,Danny Welbeck,ENG,33,1990,Right,ST,-0.1611633,0.044640366,-0.082916915,0.3001936,0.5512254,-0.29125753,-0.18374099,-0.26125017,0.0035342614,-0.028249415
ENG-Premier League,2024 - 2025,Brighton,Georginio Rutter,FRA,22,2002,Left,CAM,-0.23666726,-0.2311811,0.09535067,0.3979227,0.6362602,-0.11504464,-0.338211,-0.14541471,0.15590692,-0.33714232
ENG-Premier League,2024 - 2025,Brighton,Jack Hinshelwood,ENG,19,2005,Right,CDM,-0.2016612,-0.16209474,-0.11818786,0.44774422,0.59700423,0.039657377,-0.2831386,-0.31789485,-0.46066234,0.08344461
ENG-Premier League,2024 - 2025,Brighton,Jan Paul van Hecke,NED,24,2000,Right,CB,0.4347597,0.054123726,-0.1776275,0.5851261,-0.082294315,0.10484085,-0.54953,0.46643236,-0.4782323,0.09916854
ENG-Premier League,2024 - 2025,Brighton,João Pedro,BRA,22,2001,Right,ST,-0.038936775,-0.14052784,-0.3287,-0.1444974,0.5915522,0.0402717,-0.106937185,-0.15213929,0.4738728,0.21970652
ENG-Premier League,2024 - 2025,Brighton,Joël Veltman,NED,32,1992,Right,RB,-0.14282514,-0.28928298,-0.23652494,0.68409497,0.6636001,-0.09713217,-0.5411097,-0.07626509,-0.15529624,-0.24035816
ENG-Premier League,2024 - 2025,Brighton,Kaoru Mitoma,JPN,27,1997,Right,LM,-0.26620868,-0.48864636,0.57422125,0.5599367,0.6227158,-0.42190537,-0.029907204,0.2991408,-0.10011357,0.13897422
