league,season,team,player,nation,age,born,preferred_foot,pos,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Chelsea,Christopher Nkunku,FRA,26,1997,Right,CAM,0.5689444,0.082688935,0.43511748,-0.4490469,-0.41871312,-0.18210515,0.22120397,-0.58110964,-0.30273166,0.20314609
ENG-Premier League,2024 - 2025,Chelsea,Cole Palmer,ENG,22,2002,Left,CAM,-0.19970618,0.1356657,-0.0861076,-0.1390222,-0.4584375,0.31896284,-0.3168227,0.04531886,0.038292155,0.15402253
ENG-Premier League,2024 - 2025,Chelsea,Enzo Fernández,ARG,23,2001,Right,CM,0.5707604,-0.047209863,0.071125,-0.08316827,-0.46911684,-0.0016489386,-0.050786357,0.2749085,0.3463178,0.049965065
ENG-Premier League,2024 - 2025,Chelsea,Jadon Sancho,ENG,24,2000,Right,LW,0.6898668,-0.22086406,-0.3540476,-0.5700569,-0.07933288,0.10687073,0.113145456,-0.22918151,-0.24596137,0.17644373
ENG-Premier League,2024 - 2025,Chelsea,Levi Colwill,ENG,21,2003,Left,CB,0.70433295,0.1911949,-0.27711692,0.7074395,0.22617401,0.11054196,0.53421044,-0.31376618,0.14129718,-0.19824971
ENG-Premier League,2024 - 2025,Chelsea,Malo Gusto,FRA,21,2003,Right,RB,0.7247128,-0.23109713,0.03091689,0.15366429,-0.3951045,0.2035078,0.39908305,-0.2584985,0.08737733,0.31234375
ENG-Premier League,2024 - 2025,Chelsea,Marc Cucurella,ESP,26,1998,Left,LB,0.7786083,-0.18502954,0.015202372,0.25438926,-0.014574263,-0.070080385,0.28265566,-0.0846728,0.49978262,0.26647046
ENG-Premier League,2024 - 2025,Chelsea,Moisés Caicedo,ECU,22,2001,Right,CDM,0.62404364,-0.49755302,0.28328812,0.24793394,-0.39212102,0.17882332,0.36971185,0.12797754,0.5959377,-0.1408411
ENG-Premier League,2024 - 2025,Chelsea,Nicolas Jackson,SEN,23,2001,Right,ST,0.23996712,0.34267768,0.09973758,-0.6529175,-0.20529231,-0.009435638,0.3187761,-0.21900818,0.033223014,0.1855219
ENG-Premier League,2024 - 2025,Chelsea,Noni Madueke,ENG,22,2002,Left,RW,0.289051,-0.1265301,-0.33735698,-0.7056399,-0.29279432,0.08086879,0.27974725,-0.33643976,-0.032315213,0.34900644
ENG-Premier League,2024 - 2025,Chelsea,Pedro Neto,POR,24,2000,Left,RM,0.5310663,-0.22901094,-0.40290198,-0.45322722,-0.12334014,0.1752275,0.014344676,-0.01554644,-0.20958674,0.34272537
ENG-Premier League,2024 - 2025,Chelsea,Reece James,ENG,24,1999,Right,RB,0.76921016,-0.011708146,0.34689137,0.063189894,-0.040939484,0.2436057,0.057565045,-0.38173375,-0.3827958,0.13795295
ENG-Premier League,2024 - 2025,Chelsea,Tosin Adarabioyo,ENG,26,1997,Right,CB,0.76012015,0.15455456,0.2450878,0.31087366,0.18603681,0.22112682,0.43870002,-0.49045435,-0.3318568,-0.15684837
ENG-Premier League,2024 - 2025,Chelsea,Trevoh Chalobah,ENG,25,1999,Right,CB,0.7291435,0.08728511,0.33569464,0.14129634,-0.01080238,0.19286388,0.5348328,-0.5198298,-0.49032703,0.00148598
ENG-Premier League,2024 - 2025,Crystal Palace,Adam Wharton,ENG,20,2004,Left,CDM,0.7010374,-0.19646738,0.2766856,0.03810563,-0.3497513,0.2210654,0.10495741,-0.14374147,-0.2911147,0.4499525
ENG-Premier League,2024 - 2025,Crystal Palace,Chris Richards,USA,24,2000,Right,CB,0.7376671,0.17283408,0.30827737,0.3204199,-0.011618605,0.22188728,0.63648254,-0.25142628,0.060412347,0.44537392
ENG-Premier League,2024 - 2025,Crystal Palace,Daichi Kamada,JPN,27,1996,Right,CM,0.75079995,-0.16094223,0.39337477,-0.09312115,-0.38533795,0.41568983,0.2762347,-0.2649532,0.051177047,0.35126826
ENG-Premier League,2024 - 2025,Crystal Palace,Daniel Muñoz,COL,28,1996,Right,RB,0.54813874,-0.25234658,-0.062140636,-0.056780417,-0.2182568,-0.060801487,0.60480595,0.41081768,0.48993722,0.40588412
ENG-Premier League,2024 - 2025,Crystal Palace,Eberechi Eze,ENG,26,1998,Right,CAM,0.071811266,-0.034939203,0.11965661,-0.40828884,-0.38631037,0.29778522,-0.0039268755,0.15273307,-0.0047782296,0.0062070773
ENG-Premier League,2024 - 2025,Crystal Palace,Eddie Nketiah,ENG,25,1999,Right,ST,0.36465597,0.1463195,0.45732632,-0.5044719,-0.4383389,0.16636197,0.24451524,-0.50237596,-0.26406053,0.3570552
ENG-Premier League,2024 - 2025,Crystal Palace,Ismaila Sarr,SEN,26,1998,Right,CAM,0.47787723,0.31823215,-0.24901828,-0.49634326,-0.29043448,0.09343789,0.07304075,0.04900981,0.06872624,0.4817735
ENG-Premier League,2024 - 2025,Crystal Palace,Jean-Philippe Mateta,FRA,27,1997,Right,ST,-0.021260887,0.2927287,0.23297334,-0.39522138,0.07378626,0.24157943,0.18486735,-0.17978017,0.048213005,0.3498377
