league,season,team,player,nation,age,born,preferred_foot,pos,macro_pos,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16
ENG-Premier League,2024 - 2025,Brighton,Jack Hinshelwood,ENG,19,2005,Right,CDM,CDM,0.03810464,-0.7162206,-0.06596286,-0.5627613,0.09150635,0.42223942,0.043883994,0.6414129,-0.3842846,0.040594604,0.37776038,-0.029196998,0.18812263,-0.23188913,-0.17061111,0.6749612
ENG-Premier League,2024 - 2025,Brighton,Jan Paul van Hecke,NED,24,2000,Right,CB,CB,0.04213637,0.05178263,-0.5172065,-0.3979057,0.028058946,0.20203933,-0.48228133,0.15419425,0.19182788,-0.3823048,0.012766615,-0.4125993,-0.8255102,-0.2963352,0.41407013,0.1262792
ENG-Premier League,2024 - 2025,Brighton,João Pedro,BRA,22,2001,Right,ST,ST,-0.55294806,-0.49381074,-0.061025217,0.23903182,-0.066110626,0.16773996,0.062030286,-0.2922331,0.19346602,0.47484913,0.5010269,0.083892904,0.49787977,0.57489324,-0.45696488,0.45247728
ENG-Premier League,2024 - 2025,Brighton,Joël Veltman,NED,32,1992,Right,RB,Fullback,0.61183846,-0.4100921,-0.6573689,-0.08811039,-0.029496081,0.40174448,0.14810003,0.12960956,0.026911214,0.13028635,0.9179653,-0.40317354,-0.0678334,-0.121484816,-0.07402623,0.8854219
ENG-Premier League,2024 - 2025,Brighton,Kaoru Mitoma,JPN,27,1997,Right,LM,Wide Midfielder,0.011737093,-0.32244727,0.68154067,0.079759836,0.10795069,0.4709679,-0.0041874647,0.32914287,0.4188527,-0.24254805,0.33495864,0.45541486,-0.09189987,0.004268408,-0.6948895,0.21567914
ENG-Premier League,2024 - 2025,Brighton,Lewis Dunk,ENG,32,1991,Right,CB,CB,0.22127183,-0.17822146,-0.5536586,-0.49431986,-0.045038126,0.50423986,-0.086586,-0.19247143,-0.34638366,-0.103702426,-0.16253902,-0.51829726,-0.9122826,-0.3738051,0.04888589,0.680887
ENG-Premier League,2024 - 2025,Brighton,Mats Wieffer,NED,24,1999,Right,CDM,CDM,0.52165145,-0.5518201,-0.712993,0.120078504,0.19384074,0.6145844,0.38942987,0.43868,-0.16117626,0.2851845,0.63909674,-0.04114708,0.63517183,-0.25560358,-0.30614468,0.6020756
ENG-Premier League,2024 - 2025,Brighton,Matt O'Riley,DEN,23,2000,Left,CAM,CAM,0.20981656,-0.027576007,-0.57729894,-0.11149114,-0.15548602,0.26826563,0.88609076,0.05740928,-0.15801531,0.32594982,0.9250078,-0.31479198,0.5053763,0.038476683,-0.38662907,0.721833
ENG-Premier League,2024 - 2025,Brighton,Pervis Estupiñán,ECU,26,1998,Left,LB,Fullback,0.6213633,-0.41625065,-0.1678905,-0.035726544,0.3776409,0.12500516,0.35150588,0.51400465,0.39257246,0.031348217,0.44781536,-0.7354119,-0.5885541,-0.08112052,-0.09463895,0.3961258
ENG-Premier League,2024 - 2025,Brighton,Simon Adingra,CIV,22,2002,Right,RM,Wide Midfielder,0.19570594,-0.3004724,-0.18069549,-0.11622469,-0.23240674,0.5090988,0.74805284,-0.06491332,-0.124878876,0.2705134,1.1627373,-0.045823347,0.36567655,-0.17945907,-0.58268064,0.76936585
ENG-Premier League,2024 - 2025,Brighton,Yankuba Minteh,GAM,20,2004,Left,RM,Wide Midfielder,0.17038462,-0.5717103,0.3289044,-0.021497983,-0.20641166,0.12600268,0.63500893,0.2843452,0.2735494,-0.23946266,0.77595246,0.38794538,0.5641524,0.038979,-0.48668805,0.60519254
ENG-Premier League,2024 - 2025,Brighton,Yasin Ayari,SWE,20,2003,Right,CM,CM,0.6345004,-0.37347564,0.03482537,0.11814362,0.12263873,0.5020935,0.0037626848,0.43714553,-0.022609679,0.16238385,0.98708045,-0.47390804,0.06245728,-0.119285434,-0.20447168,0.55486715
ENG-Premier League,2024 - 2025,Chelsea,Christopher Nkunku,FRA,26,1997,Right,CAM,CAM,0.16440997,0.07851996,-0.28349194,-0.009198099,0.012186807,1.0389405,0.5716014,0.16772707,-0.64257073,0.5465994,0.80790997,0.104149885,0.23344779,-0.08070642,-0.92628986,0.33935046
ENG-Premier League,2024 - 2025,Chelsea,Cole Palmer,ENG,22,2002,Left,CAM,CAM,-0.08135003,0.4489114,0.921883,0.43245333,-0.03821256,-0.06744769,0.38040602,-0.33389258,0.29971233,0.35354587,-0.13128118,-0.75741434,-0.26302126,0.573703,-0.032996636,-0.22466698
ENG-Premier League,2024 - 2025,Chelsea,Enzo Fernández,ARG,23,2001,Right,CM,CM,0.41795754,0.043094523,0.700251,0.4946227,0.42674434,0.40097576,-0.42076886,0.3653205,-0.017874653,-0.3081637,0.29421672,-0.80887115,0.32660297,-0.21114457,0.14967746,0.020873737
