league,season,team,player,nation,age,born,preferred_foot,pos,macro_pos,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21,PCA_22,PCA_23,PCA_24,PCA_25,PCA_26,PCA_27
ENG-Premier League,2024 - 2025,Aston Villa,Lucas Digne,FRA,31,1993,Left,LB,Fullback,-3.037806747635287,2.2033914602576785,-4.082263022880961,1.697853657411405,1.9657413244954447,0.1392320834698887,-3.432074432520601,0.8151999276305424,-0.14339276975010934,-0.8883948522724714,-2.0735899376839315,-0.31746498490116626,0.5734592281378882,-1.7224050659270476,-1.103958370159853,-0.4948901301041997,0.9919232012340584,-0.12103582966428263,0.5978411846397266,-0.6537167733844736,0.6432663007576872,-0.7905915061061458,1.4779411042100807,-0.5761185412765906,0.9251451198202066,1.6004224547862462,-0.5186831155968546
ENG-Premier League,2024 - 2025,Aston Villa,Matty Cash,POL,26,1997,Right,RB,Fullback,-3.2092931199708863,-1.4187010306747072,-1.679154695056741,1.8243829477383982,-1.0425724811344335,0.0768537668573859,0.10757548121041234,1.3631413544919742,1.274560821626137,-0.6366082174646964,-0.4572891396135075,-0.8439185870727319,0.42153783333939754,-0.5905925947995958,0.6967555669688243,0.8312238296870887,1.4198897537097421,0.25814629961118274,1.3630143622185824,-0.4138918667949559,1.0370202970745717,0.9272917901168455,0.11981014711825753,-0.07733094456580299,-0.04312872177388129,0.35331984772111286,0.6116650239900826
ENG-Premier League,2024 - 2025,Aston Villa,Morgan Rogers,ENG,22,2002,Right,CAM,CAM,7.3761210948323,9.170702034175173,-2.1859036717343203,1.1529562321681706,-3.488212410757252,-1.463991032300069,-0.7148948301725855,-0.9883892302579178,3.225221997267092,0.38284430440232925,2.422925269857928,1.4144432043566146,2.1393715302364646,1.0378459126017126,-0.2750810713012507,2.95668884574218,-0.6706412724703948,-1.771046050751353,0.4227268098828662,-0.4388639986754459,2.1359229428660313,0.07527927410619825,-1.569101941608043,-1.0857817669969738,0.11277083843987219,-0.4016704363206502,-0.9312323798074492
ENG-Premier League,2024 - 2025,Aston Villa,Ollie Watkins,ENG,28,1995,Right,ST,ST,13.132008253832586,1.9332377016490288,5.501114636352006,1.7325052337241817,0.091055521528992,-0.9589869622917685,-1.014243150443989,-2.399341905961017,1.9836772403534981,-2.243128865495536,2.6147399419483617,-0.6075449083188209,-1.963139056953097,-1.185585011605162,-0.8048758217127475,0.7068375516577468,0.6377578035205035,-0.38003360332092506,1.2755000413219462,0.8210355059592198,1.0889608645990647,-1.091497049219857,0.4969144964804503,0.11345944880682013,-0.38696118672603236,-1.093356413228916,0.5636634522090259
ENG-Premier League,2024 - 2025,Aston Villa,Pau Torres,ESP,27,1997,Left,CB,CB,-6.664668725242417,-1.9198629880107536,2.2767437219180273,-3.5485239044960233,-0.37461341683429566,-2.729075940105515,1.0758088198035296,1.0846123383839263,1.2386223229392923,1.0836182353753867,-0.15715327317880082,0.39882389178315564,0.37522218453984785,-1.1943186270835124,0.11048162566740848,-1.4672162362486691,0.10233158645805371,-0.9525130800521687,0.726243483766539,0.4560943650171791,-0.3737487611070356,0.18058832303037245,0.2767233132921297,-1.160181210958494,-0.3355069126665752,-0.5017539117907187,-0.22487356632603708
ENG-Premier League,2024 - 2025,Aston Villa,Tyrone Mings,ENG,31,1993,Left,CB,CB,-3.3865637606538215,-7.983194048167379,1.4282503656887693,-3.144793822743985,0.5590512853354652,-2.155275013336666,0.03884958961464453,0.6051732319094201,1.341180547978471,-0.386948041316791,-1.2517470481627833,-0.2773423528224662,1.8016799446638356,-1.4048268300095135,-1.292672330226003,-0.4629192564380424,-0.24871031729579735,-0.259394151275659,0.41896215276436716,-0.9894480227416169,-0.7391966887500798,-0.24917974842499577,-0.4292463646749245,-0.6745396423882662,-0.27201173805822787,-1.6550272181856778,-0.8314988107474728
ENG-Premier League,2024 - 2025,Aston Villa,Youri Tielemans,BEL,27,1997,Right,CM,CM,-4.544858956435996,11.078101392386076,-0.9441367507792082,0.2697179503409019,1.552343592629365,2.4835250021267323,-1.3218426410387378,-2.521059949125546,-0.3220852728798885,0.2966876842264565,-0.6431836590594787,0.7830747458781769,0.46326062509027677,-0.5198582892641862,0.175757500179888,0.9591287558835601,-0.20666792626770744,-0.5389981246250956,2.539876405053166,0.5805534998137248,0.6656489570470611,-0.6043475801512136,-1.0665286137013799,-1.4530242710577888,-1.686525468364574,-0.1584058437959903,-0.36254909563228105
ENG-Premier League,2024 - 2025,Bournemouth,Antoine Semenyo,GHA,24,2000,Right,RM,Wide Midfielder,7.921308349246931,11.56732782617569,-1.8372969897384324,4.260060115233838,-4.542192328971518,-3.1871510267710903,1.6698152278857137,0.244612660258136,1.1732432588891062,2.010098440694891,0.03207347631389377,-0.9600464045864816,1.3128039109872534,-1.27134781911675,-0.6149439228615884,1.34907894273396,-0.24213651204955106,-0.2096374115790587,0.34073713947693285,1.2218809917347921,-2.6431554373026325,2.3986357964982408,-1.019789649678481,0.9186942319701388,0.998234981795843,-1.4045578923563722,-0.4534463453883411
ENG-Premier League,2024 - 2025,Bournemouth,Dango Ouattara,BFA,22,2002,Left,LM,Wide Midfielder,8.164938878599111,2.5026562331143047,-1.7733397718162067,2.7900478317022412,-1.5148266032272308,-2.4135946212537105,-1.952977058736186,-0.3985869725218782,-0.7431761237569554,1.2294958751525142,-2.7409243821512934,-0.013167594494891108,-0.5805014505631735,-0.1216501311844223,-0.12463284516863972,-1.6735312710143557,-1.0951616870864065,0.0664374014530129,0.055324489406929786,0.15563930872810974,-0.4772067667881079,-0.06529619743601131,-0.8181461764434796,-0.2966639291938225,0.5117743940898031,0.012758003238186806,0.24736762121859607
ENG-Premier League,2024 - 2025,Bournemouth,David Brooks,WAL,27,1997,Left,RM,Wide Midfielder,4.136119575858477,-5.203124636698165,-1.812798819493397,-0.9162049267258601,-0.07071702546319766,-0.3099260839638573,0.9475572185208855,0.18021046777910615,-2.8668830074603493,0.09315203626035093,-1.2667721092344773,-1.112069757976518,-1.6153985426565822,-0.12604148350389022,-0.034837271169177675,-0.7192226913790645,-0.04332235093522245,-1.6523992841329889,-0.37361476954380846,1.516175289134828,-0.025587858067315807,0.46076967750899145,-0.8004017850408052,0.302487444509819,0.3256329867693604,0.28071026519564335,0.4815751550885869
