league,season,team,player,nation,age,born,preferred_foot,pos,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Bournemouth,Ryan Christie,SCO,29,1995,Left,CDM,0.2224237,0.024485223,-0.17467809,-0.22290392,-0.23593274,-0.029530233,-0.00023856014,0.26247412,0.016517771,0.05717774
ENG-Premier League,2024 - 2025,Bournemouth,Tyler Adams,USA,25,1999,Right,CDM,0.23787867,0.7552678,-0.17940679,-0.35977384,-0.32499897,0.26924452,-0.19716218,0.19951403,-0.009269449,0.03132619
ENG-Premier League,2024 - 2025,Brentford,Bryan Mbeumo,CMR,24,1999,Left,RW,-0.70757735,-0.72428095,-0.20151721,0.32869318,-0.03123225,-0.51094997,-0.40667737,0.51899374,0.20967488,0.031514563
ENG-Premier League,2024 - 2025,Brentford,Christian Nørgaard,DEN,30,1994,Right,CDM,0.183968,0.49902406,0.098790355,-0.42664447,0.0015813463,-0.35532346,-0.2858296,0.47005302,-0.15979993,0.0010789032
ENG-Premier League,2024 - 2025,Brentford,Ethan Pinnock,JAM,31,1993,Left,CB,0.09491471,0.31019568,0.64267975,-0.09578742,-0.20278324,0.28690952,-0.25961277,0.1962582,-0.28380927,-0.18841115
ENG-Premier League,2024 - 2025,Brentford,Keane Lewis-Potter,ENG,23,2001,Right,LB,-0.014502868,0.062831365,0.15711291,-0.08610053,-0.28956807,-0.21916005,0.09074935,-0.14497381,0.45009416,0.23482107
ENG-Premier League,2024 - 2025,Brentford,Kevin Schade,GER,22,2001,Right,LM,0.48501873,0.07011745,0.19531593,0.32067302,0.2868031,0.021504067,-0.23186444,0.6102877,0.44063744,-0.24656753
ENG-Premier League,2024 - 2025,Brentford,Kristoffer Ajer,NOR,26,1998,Right,RB,0.45826712,0.3887866,0.39784566,-0.009342143,-0.17703687,0.3490705,0.3262202,0.06430754,-0.0255874,-0.1483045
ENG-Premier League,2024 - 2025,Brentford,Mads Roerslev,DEN,25,1999,Right,RB,0.07606965,0.11334909,0.06013794,0.05387294,-0.23278196,0.5912487,0.23746745,0.069803245,-0.23288451,0.053450126
ENG-Premier League,2024 - 2025,Brentford,Mikkel Damsgaard,DEN,24,2000,Right,CAM,0.32294464,-0.058745205,-0.41706458,-0.29175347,-0.14144114,-0.3808755,0.10986504,0.34580636,0.031390157,0.4804771
