target_player,target_season,model_used,rank,player,age,team,macro_pos,league,season,Match %
Manuel Locatelli,2024 - 2025,Relu,1,Enzo Fernández,22,Chelsea,CM,ENG-Premier League,2023 - 2024,94.2%
Manuel Locatelli,2024 - 2025,Relu,2,Hiroki Ito,23,Stuttgart,CB,GER-Bundesliga,2022 - 2023,93.1%
Manuel Locatelli,2024 - 2025,Relu,3,Nico Schlotterbeck,23,Dortmund,CB,GER-Bundesliga,2023 - 2024,93.0%
Manuel Locatelli,2024 - 2025,Relu,4,Enzo Barrenechea,22,Frosinone,CM,ITA-Serie A,2023 - 2024,92.5%
Manuel Locatelli,2024 - 2025,Relu,5,Jean-Clair Todibo,23,Nice,CB,FRA-Ligue 1,2023 - 2024,92.1%
Manuel Locatelli,2024 - 2025,Tanh,1,Moisés Caicedo,20,Brighton,CDM,ENG-Premier League,2022 - 2023,85.5%
Manuel Locatelli,2024 - 2025,Tanh,2,Nicolò Rovella,22,Lazio,CDM,ITA-Serie A,2024 - 2025,85.2%
Manuel Locatelli,2024 - 2025,Tanh,3,Enzo Barrenechea,22,Frosinone,CM,ITA-Serie A,2023 - 2024,84.0%
Manuel Locatelli,2024 - 2025,Tanh,4,Moisés Caicedo,22,Chelsea,CDM,ENG-Premier League,2024 - 2025,83.6%
Manuel Locatelli,2024 - 2025,Tanh,5,Angelo Stiller,22,Stuttgart,CDM,GER-Bundesliga,2023 - 2024,83.2%
Manuel Locatelli,2024 - 2025,Tanh + Dropout,1,Mario Gila,23,Lazio,CB,ITA-Serie A,2024 - 2025,89.7%
Manuel Locatelli,2024 - 2025,Tanh + Dropout,2,Nico Schlotterbeck,23,Dortmund,CB,GER-Bundesliga,2023 - 2024,86.7%
Manuel Locatelli,2024 - 2025,Tanh + Dropout,3,Enzo Barrenechea,22,Frosinone,CM,ITA-Serie A,2023 - 2024,86.6%
Manuel Locatelli,2024 - 2025,Tanh + Dropout,4,Nehuén Pérez,22,Udinese,CB,ITA-Serie A,2022 - 2023,84.8%
Manuel Locatelli,2024 - 2025,Tanh + Dropout,5,Dayot Upamecano,23,Bayern Munich,CB,GER-Bundesliga,2022 - 2023,80.3%
Riccardo Orsolini,2024 - 2025,Ensemble,1,Benjamin Šeško,20,RB Leipzig,ST,GER-Bundesliga,2023 - 2024,86.5%
Riccardo Orsolini,2024 - 2025,Ensemble,2,Terem Moffi,23,Lorient,ST,FRA-Ligue 1,2022 - 2023,86.4%
Riccardo Orsolini,2024 - 2025,Ensemble,3,Dušan Vlahović,22,Juventus,ST,ITA-Serie A,2022 - 2023,86.3%
Riccardo Orsolini,2024 - 2025,Ensemble,4,Adam Hložek,22,Hoffenheim,ST,GER-Bundesliga,2024 - 2025,85.6%
Riccardo Orsolini,2024 - 2025,Ensemble,5,Jonathan Burkardt,23,Mainz 05,ST,GER-Bundesliga,2023 - 2024,85.1%
Riccardo Orsolini,2024 - 2025,PCA,1,Erling Haaland,22,Manchester City,ST,ENG-Premier League,2022 - 2023,89.0%
Riccardo Orsolini,2024 - 2025,PCA,2,Victor Osimhen,23,Napoli,ST,ITA-Serie A,2022 - 2023,87.5%
Riccardo Orsolini,2024 - 2025,PCA,3,Loïs Openda,23,RB Leipzig,ST,GER-Bundesliga,2023 - 2024,86.8%
Riccardo Orsolini,2024 - 2025,PCA,4,Georges Mikautadze,22,Metz,ST,FRA-Ligue 1,2023 - 2024,86.4%
