league,season,team,player,nation,age,born,preferred_foot,pos,cluster,Dominant_Role_in_Cluster
ENG-Premier League,2024 - 2025,Chelsea,Trevoh Chalobah,ENG,25,1999,Right,CB,10,CB
ENG-Premier League,2024 - 2025,Crystal Palace,Adam Wharton,ENG,20,2004,Left,CDM,14,CM
ENG-Premier League,2024 - 2025,Crystal Palace,Chris Richards,USA,24,2000,Right,CB,8,CB
ENG-Premier League,2024 - 2025,Crystal Palace,Daichi Kamada,JPN,27,1996,Right,CM,1,CDM
ENG-Premier League,2024 - 2025,Crystal Palace,Daniel Muñoz,COL,28,1996,Right,RB,13,LB
ENG-Premier League,2024 - 2025,Crystal Palace,Eberechi Eze,ENG,26,1998,Right,CAM,9,CAM
ENG-Premier League,2024 - 2025,Crystal Palace,Eddie Nketiah,ENG,25,1999,Right,ST,3,ST
ENG-Premier League,2024 - 2025,Crystal Palace,Ismaila Sarr,SEN,26,1998,Right,CAM,17,ST
ENG-Premier League,2024 - 2025,Crystal Palace,Jean-Philippe Mateta,FRA,27,1997,Right,ST,17,ST
ENG-Premier League,2024 - 2025,Crystal Palace,Jefferson Lerma,COL,29,1994,Right,CDM,1,CDM
ENG-Premier League,2024 - 2025,Crystal Palace,Marc Guéhi,ENG,24,2000,Right,CB,15,CB
ENG-Premier League,2024 - 2025,Crystal Palace,Maxence Lacroix,FRA,24,2000,Right,CB,4,CB
ENG-Premier League,2024 - 2025,Crystal Palace,Trevoh Chalobah,ENG,25,1999,Right,CB,8,CB
ENG-Premier League,2024 - 2025,Crystal Palace,Tyrick Mitchell,ENG,24,1999,Left,LB,13,LB
ENG-Premier League,2024 - 2025,Crystal Palace,Will Hughes,ENG,29,1995,Left,CDM,2,CDM
ENG-Premier League,2024 - 2025,Everton,Abdoulaye Doucouré,MLI,31,1993,Right,CAM,6,RM
ENG-Premier League,2024 - 2025,Everton,Ashley Young,ENG,39,1985,Right,RB,18,LB
ENG-Premier League,2024 - 2025,Everton,Beto,GNB,26,1998,Right,ST,3,ST
ENG-Premier League,2024 - 2025,Everton,Dominic Calvert-Lewin,ENG,27,1997,Right,ST,3,ST
ENG-Premier League,2024 - 2025,Everton,Dwight McNeil,ENG,24,1999,Left,LM,16,RM
ENG-Premier League,2024 - 2025,Everton,Iliman Ndiaye,SEN,24,2000,Right,LM,0,RM
ENG-Premier League,2024 - 2025,Everton,Jack Harrison,ENG,27,1996,Left,RM,6,RM
ENG-Premier League,2024 - 2025,Everton,Jake O'Brien,IRL,23,2001,Right,CB,8,CB
ENG-Premier League,2024 - 2025,Everton,James Garner,ENG,23,2001,Right,CDM,1,CDM
ENG-Premier League,2024 - 2025,Everton,James Tarkowski,ENG,31,1992,Right,CB,4,CB
ENG-Premier League,2024 - 2025,Everton,Jarrad Branthwaite,ENG,22,2002,Left,CB,4,CB
ENG-Premier League,2024 - 2025,Everton,Jesper Lindstrøm,DEN,24,2000,Right,RM,6,RM
ENG-Premier League,2024 - 2025,Everton,Michael Keane,ENG,31,1993,Right,CB,8,CB
ENG-Premier League,2024 - 2025,Everton,Orel Mangala,BEL,26,1998,Right,CDM,14,CM
ENG-Premier League,2024 - 2025,Everton,Vitaliy Mykolenko,UKR,25,1999,Left,LB,18,LB
ENG-Premier League,2024 - 2025,Fulham,Adama Traoré,ESP,28,1996,Right,RM,16,RM
ENG-Premier League,2024 - 2025,Fulham,Alex Iwobi,NGA,28,1996,Right,LM,9,CAM
ENG-Premier League,2024 - 2025,Fulham,Antonee Robinson,USA,26,1997,Left,LB,13,LB
ENG-Premier League,2024 - 2025,Fulham,Calvin Bassey,NGA,24,1999,Left,CB,15,CB
ENG-Premier League,2024 - 2025,Fulham,Emile Smith Rowe,ENG,24,2000,Right,CAM,19,CM
ENG-Premier League,2024 - 2025,Fulham,Harry Wilson,WAL,27,1997,Left,RM,3,ST
ENG-Premier League,2024 - 2025,Fulham,Issa Diop,FRA,27,1997,Right,CB,10,CB
ENG-Premier League,2024 - 2025,Fulham,Joachim Andersen,DEN,28,1996,Right,CB,15,CB
ENG-Premier League,2024 - 2025,Fulham,Kenny Tete,NED,28,1995,Right,RB,1,CDM
ENG-Premier League,2024 - 2025,Fulham,Raúl Jiménez,MEX,33,1991,Right,ST,17,ST
ENG-Premier League,2024 - 2025,Fulham,Rodrigo Muniz,BRA,23,2001,Right,ST,3,ST
ENG-Premier League,2024 - 2025,Fulham,Sander Berge,NOR,26,1998,Right,CDM,5,CDM
ENG-Premier League,2024 - 2025,Fulham,Saša Lukić,SRB,27,1996,Right,CDM,5,CDM
ENG-Premier League,2024 - 2025,Fulham,Timothy Castagne,BEL,28,1995,Right,RB,1,CDM
ENG-Premier League,2024 - 2025,Ipswich Town,Ben Johnson,ENG,24,2000,Right,RB,8,CB
ENG-Premier League,2024 - 2025,Ipswich Town,Dara O'Shea,IRL,25,1999,Right,CB,4,CB
ENG-Premier League,2024 - 2025,Ipswich Town,Jack Clarke,ENG,23,2000,Right,LM,14,CM
ENG-Premier League,2024 - 2025,Ipswich Town,Jacob Greaves,ENG,23,2000,Left,CB,4,CB
ENG-Premier League,2024 - 2025,Ipswich Town,Kalvin Phillips,ENG,28,1995,Right,CDM,1,CDM
ENG-Premier League,2024 - 2025,Ipswich Town,Leif Davis,ENG,24,2000,Left,LB,18,LB
ENG-Premier League,2024 - 2025,Ipswich Town,Liam Delap,ENG,21,2003,Right,ST,17,ST
ENG-Premier League,2024 - 2025,Ipswich Town,Omari Hutchinson,ENG,20,2003,Left,CAM,0,RM
ENG-Premier League,2024 - 2025,Ipswich Town,Sammie Szmodics,IRL,28,1995,Right,LM,3,ST
ENG-Premier League,2024 - 2025,Ipswich Town,Wes Burns,WAL,29,1994,Right,RM,12,ST
ENG-Premier League,2024 - 2025,Leicester City,Bilal El Khannouss,MAR,20,2004,Right,CAM,13,LB
ENG-Premier League,2024 - 2025,Leicester City,Conor Coady,ENG,31,1993,Right,CB,8,CB
ENG-Premier League,2024 - 2025,Leicester City,Facundo Buonanotte,ARG,19,2004,Left,RM,6,RM
ENG-Premier League,2024 - 2025,Leicester City,Harry Winks,ENG,28,1996,Right,CDM,14,CM
ENG-Premier League,2024 - 2025,Leicester City,James Justin,ENG,26,1998,Right,RB,2,CDM
ENG-Premier League,2024 - 2025,Leicester City,Jannik Vestergaard,DEN,31,1992,Right,CB,10,CB
