league,season,team,player,nation,age,born,preferred_foot,pos,cluster,Dominant_Role_in_Cluster
FRA-Ligue 1,2023 - 2024,Strasbourg,Lucas Perrin,FRA,24,1998,Right,CB,15,CB
FRA-Ligue 1,2023 - 2024,Strasbourg,Marvin Senaya,TOG,22,2001,Right,RB,2,CDM
FRA-Ligue 1,2023 - 2024,Strasbourg,Thomas Delaine,FRA,31,1992,Left,LB,18,LB
FRA-Ligue 1,2023 - 2024,Strasbourg,Ângelo,BRA,18,2004,Left,RM,6,RM
FRA-Ligue 1,2023 - 2024,Toulouse,Aron Dønnum,NOR,25,1998,Left,RM,6,RM
FRA-Ligue 1,2023 - 2024,Toulouse,Christian Mawissa,FRA,18,2005,Left,CB,8,CB
FRA-Ligue 1,2023 - 2024,Toulouse,Frank Magri,CMR,23,1999,Right,ST,3,ST
FRA-Ligue 1,2023 - 2024,Toulouse,Gabriel Suazo,CHI,25,1997,Left,LB,13,LB
FRA-Ligue 1,2023 - 2024,Toulouse,Logan Costa,CPV,22,2001,Right,CB,15,CB
FRA-Ligue 1,2023 - 2024,Toulouse,Moussa Diarra,MLI,22,2000,Left,CB,8,CB
FRA-Ligue 1,2023 - 2024,Toulouse,Niklas Schmidt,GER,25,1998,Right,CM,14,CM
FRA-Ligue 1,2023 - 2024,Toulouse,Rasmus Nicolaisen,DEN,26,1997,Left,CB,4,CB
FRA-Ligue 1,2023 - 2024,Toulouse,Stijn Spierings,NED,27,1996,Right,CM,5,CDM
FRA-Ligue 1,2023 - 2024,Toulouse,Thijs Dallinga,NED,22,2000,Right,ST,17,ST
FRA-Ligue 1,2023 - 2024,Toulouse,Vincent Sierro,SUI,27,1995,Right,CM,2,CDM
FRA-Ligue 1,2023 - 2024,Toulouse,Yann Gboho,FRA,22,2001,Right,CAM,16,RM
GER-Bundesliga,2023 - 2024,Augsburg,Arne Engels,BEL,19,2003,Right,CM,12,ST
GER-Bundesliga,2023 - 2024,Augsburg,Arne Maier,GER,24,1999,Right,CM,16,RM
GER-Bundesliga,2023 - 2024,Augsburg,Elvis Rexhbeçaj,KVX,25,1997,Left,CM,1,CDM
GER-Bundesliga,2023 - 2024,Augsburg,Ermedin Demirović,BIH,25,1998,Right,ST,17,ST
GER-Bundesliga,2023 - 2024,Augsburg,Jeffrey Gouweleeuw,NED,32,1991,Right,CB,15,CB
GER-Bundesliga,2023 - 2024,Augsburg,Kevin Mbabu,SUI,28,1995,Right,RB,18,LB
GER-Bundesliga,2023 - 2024,Augsburg,Kristijan Jakić,CRO,26,1997,Right,CDM,14,CM
GER-Bundesliga,2023 - 2024,Augsburg,Mads Pedersen,DEN,26,1996,Left,LB,18,LB
GER-Bundesliga,2023 - 2024,Augsburg,Phillip Tietz,GER,26,1997,Right,ST,17,ST
GER-Bundesliga,2023 - 2024,Augsburg,Ruben Vargas,SUI,24,1998,Right,LM,16,RM
GER-Bundesliga,2023 - 2024,Bayern Munich,Aleksandar Pavlovic,GER,19,2004,Right,CDM,19,CM
GER-Bundesliga,2023 - 2024,Bayern Munich,Alphonso Davies,CAN,22,2000,Left,LB,13,LB
GER-Bundesliga,2023 - 2024,Bayern Munich,Dayot Upamecano,FRA,24,1998,Right,CB,15,CB
GER-Bundesliga,2023 - 2024,Bayern Munich,Eric Dier,ENG,29,1994,Right,CB,10,CB
GER-Bundesliga,2023 - 2024,Bayern Munich,Harry Kane,ENG,30,1993,Right,ST,11,ST
GER-Bundesliga,2023 - 2024,Bayern Munich,Jamal Musiala,GER,20,2003,Right,CAM,11,ST
GER-Bundesliga,2023 - 2024,Bayern Munich,Joshua Kimmich,GER,28,1995,Right,CDM,7,CM
GER-Bundesliga,2023 - 2024,Bayern Munich,Kingsley Coman,FRA,27,1996,Right,LM,16,RM
GER-Bundesliga,2023 - 2024,Bayern Munich,Konrad Laimer,AUT,26,1997,Right,RB,13,LB
GER-Bundesliga,2023 - 2024,Bayern Munich,Leon Goretzka,GER,28,1995,Right,CM,7,CM
GER-Bundesliga,2023 - 2024,Bayern Munich,Leroy Sané,GER,27,1996,Left,RM,9,CAM
GER-Bundesliga,2023 - 2024,Bayern Munich,Mathys Tel,FRA,18,2005,Right,ST,16,RM
GER-Bundesliga,2023 - 2024,Bayern Munich,Matthijs de Ligt,NED,23,1999,Right,CB,10,CB
GER-Bundesliga,2023 - 2024,Bayern Munich,Noussair Mazraoui,MAR,25,1997,Right,RB,14,CM
GER-Bundesliga,2023 - 2024,Bayern Munich,Raphaël Guerreiro,POR,29,1993,Left,LB,19,CM
GER-Bundesliga,2023 - 2024,Bayern Munich,Thomas Müller,GER,33,1989,Right,CAM,9,CAM
GER-Bundesliga,2023 - 2024,Bochum,Bernardo,BRA,28,1995,Left,CB,2,CDM
GER-Bundesliga,2023 - 2024,Bochum,Christopher Antwi-Adjei,GHA,29,1994,Right,LM,12,ST
GER-Bundesliga,2023 - 2024,Bochum,Erhan Mašović,SRB,24,1998,Right,CB,1,CDM
GER-Bundesliga,2023 - 2024,Bochum,Felix Passlack,GER,25,1998,Right,RB,12,ST
GER-Bundesliga,2023 - 2024,Bochum,Keven Schlotterbeck,GER,26,1997,Left,CB,4,CB
GER-Bundesliga,2023 - 2024,Bochum,Kevin Stöger,AUT,29,1993,Left,CAM,9,CAM
GER-Bundesliga,2023 - 2024,Bochum,Matúš Bero,SVK,27,1995,Right,CM,12,ST
GER-Bundesliga,2023 - 2024,Bochum,Maximilian Wittek,GER,27,1995,Left,LB,12,ST
GER-Bundesliga,2023 - 2024,Bochum,Moritz Broschinski,GER,22,2000,Right,ST,12,ST
GER-Bundesliga,2023 - 2024,Bochum,Patrick Osterhage,GER,23,2000,Left,CDM,1,CDM
GER-Bundesliga,2023 - 2024,Bochum,Philipp Hofmann,GER,30,1993,Left,ST,3,ST
GER-Bundesliga,2023 - 2024,Bochum,Takuma Asano,JPN,28,1994,Right,RM,3,ST
GER-Bundesliga,2023 - 2024,Darmstadt 98,Christoph Klarer,AUT,23,2000,Right,CB,4,CB
GER-Bundesliga,2023 - 2024,Darmstadt 98,Emir Karic,BIH,26,1997,Left,LB,18,LB
GER-Bundesliga,2023 - 2024,Darmstadt 98,Fabian Holland,GER,33,1990,Left,CDM,1,CDM
GER-Bundesliga,2023 - 2024,Darmstadt 98,Fabian Nürnberger,BUL,24,1999,Left,LM,14,CM
GER-Bundesliga,2023 - 2024,Darmstadt 98,Julian Justvan,GER,25,1998,Left,CAM,12,ST
GER-Bundesliga,2023 - 2024,Darmstadt 98,Klaus Gjasula,ALB,33,1989,Right,CDM,10,CB
GER-Bundesliga,2023 - 2024,Darmstadt 98,Luca Pfeiffer,GER,26,1996,Right,ST,12,ST
GER-Bundesliga,2023 - 2024,Darmstadt 98,Marvin Mehlem,GER,25,1997,Right,CM,12,ST
GER-Bundesliga,2023 - 2024,Darmstadt 98,Matej Maglica,CRO,24,1998,Left,CB,4,CB
GER-Bundesliga,2023 - 2024,Darmstadt 98,Mathias Honsak,AUT,26,1996,Left,LM,12,ST
GER-Bundesliga,2023 - 2024,Darmstadt 98,Matthias Bader,GER,26,1997,Right,RB,18,LB
GER-Bundesliga,2023 - 2024,Darmstadt 98,Oscar Vilhelmsson,SWE,19,2003,Left,ST,12,ST
GER-Bundesliga,2023 - 2024,Darmstadt 98,Tim Skarke,GER,26,1996,Right,ST,11,ST
GER-Bundesliga,2023 - 2024,Dortmund,Donyell Malen,NED,24,1999,Right,RM,11,ST
GER-Bundesliga,2023 - 2024,Dortmund,Emre Can,GER,29,1994,Right,CB,5,CDM
GER-Bundesliga,2023 - 2024,Dortmund,Felix Nmecha,GER,22,2000,Right,CDM,14,CM
GER-Bundesliga,2023 - 2024,Dortmund,Ian Maatsen,NED,21,2002,Left,LB,19,CM
GER-Bundesliga,2023 - 2024,Dortmund,Jadon Sancho,ENG,23,2000,Right,LW,16,RM
GER-Bundesliga,2023 - 2024,Dortmund,Jamie Gittens,ENG,18,2004,Right,LM,16,RM
GER-Bundesliga,2023 - 2024,Dortmund,Julian Brandt,GER,27,1996,Right,CAM,9,CAM
GER-Bundesliga,2023 - 2024,Dortmund,Julian Ryerson,NOR,25,1997,Right,RB,19,CM
GER-Bundesliga,2023 - 2024,Dortmund,Karim Adeyemi,GER,21,2002,Left,RM,3,ST
GER-Bundesliga,2023 - 2024,Dortmund,Marcel Sabitzer,AUT,29,1994,Right,CDM,2,CDM
GER-Bundesliga,2023 - 2024,Dortmund,Marco Reus,GER,34,1989,Right,CAM,11,ST
GER-Bundesliga,2023 - 2024,Dortmund,Marius Wolf,GER,28,1995,Right,RB,14,CM
GER-Bundesliga,2023 - 2024,Dortmund,Niclas Füllkrug,GER,30,1993,Right,ST,17,ST
GER-Bundesliga,2023 - 2024,Dortmund,Nico Schlotterbeck,GER,23,1999,Left,CB,15,CB
GER-Bundesliga,2023 - 2024,Dortmund,Niklas Süle,GER,27,1995,Right,CB,15,CB
GER-Bundesliga,2023 - 2024,Dortmund,Salih Özcan,TUR,25,1998,Right,CDM,14,CM
GER-Bundesliga,2023 - 2024,Eint Frankfurt,Ansgar Knauff,GER,21,2002,Right,RM,0,RM
GER-Bundesliga,2023 - 2024,Eint Frankfurt,Aurélio Buta,POR,26,1997,Right,RB,18,LB
GER-Bundesliga,2023 - 2024,Eint Frankfurt,Ellyes Skhiri,TUN,28,1995,Right,CDM,5,CDM
GER-Bundesliga,2023 - 2024,Eint Frankfurt,Fares Chaïbi,ALG,20,2002,Right,CAM,9,CAM
GER-Bundesliga,2023 - 2024,Eint Frankfurt,Hugo Larsson,SWE,19,2004,Right,CM,8,CB
GER-Bundesliga,2023 - 2024,Eint Frankfurt,Junior Dina Ebimbe,CMR,22,2000,Right,RM,0,RM
GER-Bundesliga,2023 - 2024,Eint Frankfurt,Mario Götze,GER,31,1992,Right,CM,13,LB
GER-Bundesliga,2023 - 2024,Eint Frankfurt,Niels Nkounkou,FRA,22,2000,Left,LB,2,CDM
GER-Bundesliga,2023 - 2024,Eint Frankfurt,Omar Marmoush,EGY,24,1999,Right,ST,11,ST
GER-Bundesliga,2023 - 2024,Eint Frankfurt,Philipp Max,GER,29,1993,Left,LB,19,CM
GER-Bundesliga,2023 - 2024,Eint Frankfurt,Robin Koch,GER,27,1996,Right,CB,15,CB
GER-Bundesliga,2023 - 2024,Eint Frankfurt,Willian Pacho,ECU,21,2001,Left,CB,15,CB
GER-Bundesliga,2023 - 2024,Freiburg,Christian Günter,GER,30,1993,Left,LB,14,CM
GER-Bundesliga,2023 - 2024,Freiburg,Kiliann Sildillia,FRA,21,2002,Right,RB,18,LB
GER-Bundesliga,2023 - 2024,Freiburg,Lucas Höler,GER,29,1994,Right,ST,17,ST
GER-Bundesliga,2023 - 2024,Freiburg,Lukas Kübler,GER,30,1992,Right,RB,4,CB
GER-Bundesliga,2023 - 2024,Freiburg,Matthias Ginter,GER,29,1994,Right,CB,4,CB
GER-Bundesliga,2023 - 2024,Freiburg,Maximilian Eggestein,GER,26,1996,Right,CDM,5,CDM
GER-Bundesliga,2023 - 2024,Freiburg,Merlin Röhl,GER,21,2002,Right,CAM,16,RM
GER-Bundesliga,2023 - 2024,Freiburg,Michael Gregoritsch,AUT,29,1994,Left,ST,17,ST
GER-Bundesliga,2023 - 2024,Freiburg,Nicolas Höfler,GER,33,1990,Right,CDM,5,CDM
GER-Bundesliga,2023 - 2024,Freiburg,Philipp Lienhart,AUT,27,1996,Right,CB,8,CB
GER-Bundesliga,2023 - 2024,Freiburg,Ritsu Doan,JPN,25,1998,Left,RM,0,RM
GER-Bundesliga,2023 - 2024,Freiburg,Roland Sallai,HUN,26,1997,Right,RM,17,ST
GER-Bundesliga,2023 - 2024,Freiburg,Vincenzo Grifo,ITA,30,1993,Right,LM,9,CAM
GER-Bundesliga,2023 - 2024,Freiburg,Yannik Keitel,GER,23,2000,Right,CDM,8,CB
GER-Bundesliga,2023 - 2024,Gladbach,Alassane Pléa,FRA,30,1993,Right,ST,17,ST
GER-Bundesliga,2023 - 2024,Gladbach,Florian Neuhaus,GER,26,1997,Right,CM,3,ST
GER-Bundesliga,2023 - 2024,Gladbach,Franck Honorat,FRA,26,1996,Right,RM,9,CAM
GER-Bundesliga,2023 - 2024,Gladbach,Joe Scally,USA,20,2002,Right,RB,18,LB
GER-Bundesliga,2023 - 2024,Gladbach,Julian Weigl,GER,27,1995,Right,CDM,2,CDM
GER-Bundesliga,2023 - 2024,Gladbach,Ko Itakura,JPN,26,1997,Right,CB,10,CB
GER-Bundesliga,2023 - 2024,Gladbach,Luca Netz,GER,20,2003,Left,LB,18,LB
GER-Bundesliga,2023 - 2024,Gladbach,Marvin Friedrich,GER,27,1995,Right,CB,10,CB
GER-Bundesliga,2023 - 2024,Gladbach,Maximilian Wöber,AUT,25,1998,Left,CB,4,CB
GER-Bundesliga,2023 - 2024,Gladbach,Nico Elvedi,SUI,26,1996,Right,CB,15,CB
GER-Bundesliga,2023 - 2024,Gladbach,Robin Hack,GER,24,1998,Right,LM,11,ST
GER-Bundesliga,2023 - 2024,Gladbach,Rocco Reitz,GER,21,2002,Right,CM,2,CDM
GER-Bundesliga,2023 - 2024,Heidenheim,Adrian Beck,GER,26,1997,Right,CM,12,ST
GER-Bundesliga,2023 - 2024,Heidenheim,Benedikt Gimber,GER,26,1997,Left,CB,10,CB
GER-Bundesliga,2023 - 2024,Heidenheim,Eren Dinkçi,GER,21,2001,Right,CAM,11,ST
GER-Bundesliga,2023 - 2024,Heidenheim,Jan Schöppner,GER,24,1999,Right,CDM,1,CDM
GER-Bundesliga,2023 - 2024,Heidenheim,Jan-Niklas Beste,GER,24,1999,Left,LM,9,CAM
GER-Bundesliga,2023 - 2024,Heidenheim,Kevin Sessa,GER,23,2000,Right,CM,12,ST
GER-Bundesliga,2023 - 2024,Heidenheim,Lennard Maloney,USA,23,1999,Right,CDM,1,CDM
GER-Bundesliga,2023 - 2024,Heidenheim,Marvin Pieringer,GER,23,1999,Right,ST,12,ST
GER-Bundesliga,2023 - 2024,Heidenheim,Patrick Mainka,GER,28,1994,Right,CB,4,CB
GER-Bundesliga,2023 - 2024,Heidenheim,Tim Kleindienst,GER,27,1995,Left,ST,17,ST
GER-Bundesliga,2023 - 2024,Hoffenheim,Andrej Kramarić,CRO,32,1991,Right,CAM,11,ST
GER-Bundesliga,2023 - 2024,Hoffenheim,Anton Stach,GER,24,1998,Right,CDM,2,CDM
GER-Bundesliga,2023 - 2024,Hoffenheim,Florian Grillitsch,AUT,27,1995,Right,CM,15,CB
GER-Bundesliga,2023 - 2024,Hoffenheim,Grischa Prömel,GER,28,1995,Right,CM,19,CM
GER-Bundesliga,2023 - 2024,Hoffenheim,Ihlas Bebou,TOG,29,1994,Right,ST,17,ST
GER-Bundesliga,2023 - 2024,Hoffenheim,John Brooks,USA,30,1993,Left,CB,10,CB
GER-Bundesliga,2023 - 2024,Hoffenheim,Kevin Vogt,GER,31,1991,Right,CB,10,CB
GER-Bundesliga,2023 - 2024,Hoffenheim,Marius Bülter,GER,30,1993,Right,ST,16,RM
GER-Bundesliga,2023 - 2024,Hoffenheim,Maximilian Beier,GER,20,2002,Right,ST,17,ST
GER-Bundesliga,2023 - 2024,Hoffenheim,Ozan Kabak,TUR,23,2000,Right,CB,4,CB
GER-Bundesliga,2023 - 2024,Hoffenheim,Pavel Kadeřábek,CZE,31,1992,Right,RB,9,CAM
GER-Bundesliga,2023 - 2024,Hoffenheim,Robert Skov,DEN,27,1996,Left,LB,16,RM
GER-Bundesliga,2023 - 2024,Hoffenheim,Umut Tohumcu,GER,18,2004,Right,CAM,14,CM
GER-Bundesliga,2023 - 2024,Hoffenheim,Wout Weghorst,NED,30,1992,Right,ST,17,ST
GER-Bundesliga,2023 - 2024,Köln,Davie Selke,GER,28,1995,Right,ST,3,ST
GER-Bundesliga,2023 - 2024,Köln,Dejan Ljubicic,AUT,25,1997,Right,CM,6,RM
GER-Bundesliga,2023 - 2024,Köln,Denis Huseinbasic,BIH,22,2001,Right,CM,1,CDM
GER-Bundesliga,2023 - 2024,Köln,Eric Martel,GER,21,2002,Right,CDM,2,CDM
GER-Bundesliga,2023 - 2024,Köln,Faride Alidou,GER,22,2001,Right,RM,12,ST
GER-Bundesliga,2023 - 2024,Köln,Florian Kainz,AUT,30,1992,Right,CAM,9,CAM
GER-Bundesliga,2023 - 2024,Köln,Jan Thielmann,GER,21,2002,Right,RM,6,RM
GER-Bundesliga,2023 - 2024,Köln,Julian Chabot,GER,25,1998,Left,CB,4,CB
GER-Bundesliga,2023 - 2024,Köln,Leart Paqarada,KVX,28,1994,Left,LB,14,CM
GER-Bundesliga,2023 - 2024,Köln,Linton Maina,GER,24,1999,Right,LM,6,RM
GER-Bundesliga,2023 - 2024,Köln,Luca Waldschmidt,GER,27,1996,Left,CAM,12,ST
GER-Bundesliga,2023 - 2024,Köln,Max Finkgräfe,GER,19,2004,Left,LB,18,LB
GER-Bundesliga,2023 - 2024,Köln,Rasmus Carstensen,DEN,22,2000,Right,RB,18,LB
GER-Bundesliga,2023 - 2024,Köln,Timo Hübers,GER,27,1996,Right,CB,4,CB
GER-Bundesliga,2023 - 2024,Leverkusen,Edmond Tapsoba,BFA,24,1999,Right,CB,15,CB
GER-Bundesliga,2023 - 2024,Leverkusen,Exequiel Palacios,ARG,24,1998,Right,CM,7,CM
GER-Bundesliga,2023 - 2024,Leverkusen,Florian Wirtz,GER,20,2003,Right,CAM,9,CAM
GER-Bundesliga,2023 - 2024,Leverkusen,Granit Xhaka,SUI,30,1992,Left,CDM,7,CM
GER-Bundesliga,2023 - 2024,Leverkusen,Jeremie Frimpong,NED,22,2000,Right,RB,0,RM
GER-Bundesliga,2023 - 2024,Leverkusen,Jonas Hofmann,GER,31,1992,Right,CAM,9,CAM
GER-Bundesliga,2023 - 2024,Leverkusen,Jonathan Tah,GER,27,1996,Right,CB,15,CB
GER-Bundesliga,2023 - 2024,Leverkusen,Josip Stanišić,CRO,23,2000,Right,CB,19,CM
GER-Bundesliga,2023 - 2024,Leverkusen,Odilon Kossounou,CIV,22,2001,Right,CB,5,CDM
GER-Bundesliga,2023 - 2024,Leverkusen,Patrik Schick,CZE,27,1996,Left,ST,3,ST
GER-Bundesliga,2023 - 2024,Leverkusen,Piero Hincapié,ECU,21,2002,Left,CB,15,CB
GER-Bundesliga,2023 - 2024,Leverkusen,Robert Andrich,GER,28,1994,Right,CDM,19,CM
GER-Bundesliga,2023 - 2024,Leverkusen,Victor Boniface,NGA,22,2000,Right,ST,17,ST
GER-Bundesliga,2023 - 2024,Mainz 05,Anthony Caci,FRA,26,1997,Right,RB,13,LB
GER-Bundesliga,2023 - 2024,Mainz 05,Brajan Gruda,GER,19,2004,Left,CAM,0,RM
GER-Bundesliga,2023 - 2024,Mainz 05,Dominik Kohr,GER,29,1994,Right,CB,2,CDM
GER-Bundesliga,2023 - 2024,Mainz 05,Jonathan Burkardt,GER,23,2000,Right,ST,3,ST
GER-Bundesliga,2023 - 2024,Mainz 05,Karim Onisiwo,AUT,31,1992,Right,ST,12,ST
GER-Bundesliga,2023 - 2024,Mainz 05,Ludovic Ajorque,FRA,29,1994,Left,ST,12,ST
GER-Bundesliga,2023 - 2024,Mainz 05,Nadiem Amiri,GER,26,1996,Right,CM,16,RM
GER-Bundesliga,2023 - 2024,Mainz 05,Phillipp Mwene,AUT,29,1994,Right,LB,18,LB
GER-Bundesliga,2023 - 2024,Mainz 05,Sepp van den Berg,NED,21,2001,Right,CB,4,CB
GER-Bundesliga,2023 - 2024,Mainz 05,Silvan Widmer,SUI,30,1993,Right,RB,12,ST
GER-Bundesliga,2023 - 2024,Mainz 05,Tom Krauß,GER,22,2001,Right,CDM,1,CDM
GER-Bundesliga,2023 - 2024,RB Leipzig,Amadou Haidara,MLI,25,1998,Right,CM,1,CDM
GER-Bundesliga,2023 - 2024,RB Leipzig,Benjamin Henrichs,GER,26,1997,Right,RB,13,LB
GER-Bundesliga,2023 - 2024,RB Leipzig,Benjamin Šeško,SVN,20,2003,Right,ST,3,ST
GER-Bundesliga,2023 - 2024,RB Leipzig,Castello Lukeba,FRA,20,2002,Left,CB,15,CB
GER-Bundesliga,2023 - 2024,RB Leipzig,Christoph Baumgartner,AUT,23,1999,Right,CAM,3,ST
GER-Bundesliga,2023 - 2024,RB Leipzig,Dani Olmo,ESP,25,1998,Right,CAM,16,RM
GER-Bundesliga,2023 - 2024,RB Leipzig,David Raum,GER,25,1998,Left,LB,13,LB
GER-Bundesliga,2023 - 2024,RB Leipzig,Kevin Kampl,SVN,32,1990,Right,CM,19,CM
GER-Bundesliga,2023 - 2024,RB Leipzig,Loïs Openda,BEL,23,2000,Right,ST,17,ST
GER-Bundesliga,2023 - 2024,RB Leipzig,Lukas Klostermann,GER,27,1996,Right,CB,8,CB
GER-Bundesliga,2023 - 2024,RB Leipzig,Mohamed Simakan,FRA,23,2000,Right,CB,15,CB
GER-Bundesliga,2023 - 2024,RB Leipzig,Willi Orban,HUN,30,1992,Right,CB,10,CB
GER-Bundesliga,2023 - 2024,RB Leipzig,Xaver Schlager,AUT,25,1997,Left,CDM,7,CM
GER-Bundesliga,2023 - 2024,RB Leipzig,Xavi Simons,NED,20,2003,Right,CAM,9,CAM
GER-Bundesliga,2023 - 2024,RB Leipzig,Yussuf Poulsen,DEN,29,1994,Right,ST,3,ST
GER-Bundesliga,2023 - 2024,Stuttgart,Angelo Stiller,GER,22,2001,Left,CDM,7,CM
GER-Bundesliga,2023 - 2024,Stuttgart,Anthony Rouault,FRA,22,2001,Right,CB,14,CM
GER-Bundesliga,2023 - 2024,Stuttgart,Atakan Karazor,TUR,26,1996,Right,CDM,5,CDM
GER-Bundesliga,2023 - 2024,Stuttgart,Chris Führich,GER,25,1998,Right,LM,0,RM
GER-Bundesliga,2023 - 2024,Stuttgart,Dan-Axel Zagadou,FRA,24,1999,Left,CB,10,CB
GER-Bundesliga,2023 - 2024,Stuttgart,Deniz Undav,GER,27,1996,Right,ST,11,ST
GER-Bundesliga,2023 - 2024,Stuttgart,Enzo Millot,FRA,21,2002,Left,CAM,9,CAM
GER-Bundesliga,2023 - 2024,Stuttgart,Hiroki Ito,JPN,24,1999,Left,CB,15,CB
GER-Bundesliga,2023 - 2024,Stuttgart,Jamie Leweling,GER,22,2001,Right,RM,17,ST
GER-Bundesliga,2023 - 2024,Stuttgart,Josha Vagnoman,GER,22,2000,Right,RB,14,CM
GER-Bundesliga,2023 - 2024,Stuttgart,Maximilian Mittelstädt,GER,26,1997,Left,LB,13,LB
GER-Bundesliga,2023 - 2024,Stuttgart,Pascal Stenzel,GER,27,1996,Right,RB,14,CM
GER-Bundesliga,2023 - 2024,Stuttgart,Serhou Guirassy,GUI,27,1996,Right,ST,11,ST
GER-Bundesliga,2023 - 2024,Stuttgart,Waldemar Anton,GER,27,1996,Right,CB,15,CB
GER-Bundesliga,2023 - 2024,Union Berlin,Alex Král,CZE,25,1998,Right,CM,14,CM
GER-Bundesliga,2023 - 2024,Union Berlin,András Schäfer,HUN,24,1999,Right,CM,12,ST
GER-Bundesliga,2023 - 2024,Union Berlin,Benedict Hollerbach,GER,22,2001,Right,ST,3,ST
GER-Bundesliga,2023 - 2024,Union Berlin,Brenden Aaronson,USA,22,2000,Right,CAM,6,RM
GER-Bundesliga,2023 - 2024,Union Berlin,Christopher Trimmel,AUT,36,1987,Right,RB,14,CM
GER-Bundesliga,2023 - 2024,Union Berlin,Danilho Doekhi,NED,25,1998,Right,CB,4,CB
GER-Bundesliga,2023 - 2024,Union Berlin,Diogo Leite,POR,24,1999,Left,CB,4,CB
GER-Bundesliga,2023 - 2024,Union Berlin,Janik Haberer,GER,29,1994,Right,CM,1,CDM
GER-Bundesliga,2023 - 2024,Union Berlin,Josip Juranović,CRO,27,1995,Right,RB,14,CM
GER-Bundesliga,2023 - 2024,Union Berlin,Kevin Behrens,GER,32,1991,Right,ST,3,ST
GER-Bundesliga,2023 - 2024,Union Berlin,Kevin Volland,GER,31,1992,Left,ST,12,ST
GER-Bundesliga,2023 - 2024,Union Berlin,Lucas Tousart,FRA,26,1997,Right,CDM,1,CDM
GER-Bundesliga,2023 - 2024,Union Berlin,Rani Khedira,GER,29,1994,Right,CDM,14,CM
GER-Bundesliga,2023 - 2024,Union Berlin,Robin Gosens,GER,29,1994,Left,LB,2,CDM
GER-Bundesliga,2023 - 2024,Union Berlin,Robin Knoche,GER,31,1992,Right,CB,10,CB
GER-Bundesliga,2023 - 2024,Werder Bremen,Anthony Jung,GER,31,1991,Left,CB,15,CB
GER-Bundesliga,2023 - 2024,Werder Bremen,Jens Stage,DEN,26,1996,Right,CM,2,CDM
GER-Bundesliga,2023 - 2024,Werder Bremen,Justin Njinmah,GER,22,2000,Right,ST,3,ST
GER-Bundesliga,2023 - 2024,Werder Bremen,Leonardo Bittencourt,GER,29,1993,Right,CAM,6,RM
GER-Bundesliga,2023 - 2024,Werder Bremen,Marco Friedl,AUT,25,1998,Left,CB,4,CB
GER-Bundesliga,2023 - 2024,Werder Bremen,Marvin Ducksch,GER,29,1994,Right,ST,17,ST
GER-Bundesliga,2023 - 2024,Werder Bremen,Mitchell Weiser,GER,29,1994,Right,RB,13,LB
GER-Bundesliga,2023 - 2024,Werder Bremen,Nick Woltemade,GER,21,2002,Right,ST,12,ST
GER-Bundesliga,2023 - 2024,Werder Bremen,Niklas Stark,GER,28,1995,Right,CB,8,CB
GER-Bundesliga,2023 - 2024,Werder Bremen,Olivier Deman,BEL,23,2000,Left,LB,8,CB
GER-Bundesliga,2023 - 2024,Werder Bremen,Romano Schmid,AUT,23,2000,Right,CAM,9,CAM
GER-Bundesliga,2023 - 2024,Werder Bremen,Senne Lynen,BEL,24,1999,Right,CDM,1,CDM
GER-Bundesliga,2023 - 2024,Wolfsburg,Aster Vranckx,BEL,20,2002,Right,CM,14,CM
GER-Bundesliga,2023 - 2024,Wolfsburg,Cedric Zesiger,SUI,25,1998,Left,CB,10,CB
GER-Bundesliga,2023 - 2024,Wolfsburg,Joakim Mæhle,DEN,26,1997,Right,LB,13,LB
GER-Bundesliga,2023 - 2024,Wolfsburg,Jonas Wind,DEN,24,1999,Right,ST,17,ST
GER-Bundesliga,2023 - 2024,Wolfsburg,Kevin Paredes,USA,20,2003,Left,LW,6,RM
GER-Bundesliga,2023 - 2024,Wolfsburg,Lovro Majer,CRO,25,1998,Left,CM,9,CAM
GER-Bundesliga,2023 - 2024,Wolfsburg,Mattias Svanberg,SWE,24,1999,Right,CM,6,RM
GER-Bundesliga,2023 - 2024,Wolfsburg,Maxence Lacroix,FRA,23,2000,Right,CB,4,CB
GER-Bundesliga,2023 - 2024,Wolfsburg,Maximilian Arnold,GER,29,1994,Left,CDM,5,CDM
GER-Bundesliga,2023 - 2024,Wolfsburg,Ridle Baku,GER,25,1998,Right,RM,18,LB
GER-Bundesliga,2023 - 2024,Wolfsburg,Rogério,BRA,25,1998,Left,LB,8,CB
GER-Bundesliga,2023 - 2024,Wolfsburg,Sebastiaan Bornauw,BEL,24,1999,Right,CB,10,CB
GER-Bundesliga,2023 - 2024,Wolfsburg,Tiago Tomás,POR,21,2002,Right,LW,12,ST
GER-Bundesliga,2023 - 2024,Wolfsburg,Václav Černý,CZE,25,1997,Left,RM,12,ST
GER-Bundesliga,2023 - 2024,Wolfsburg,Yannick Gerhardt,GER,29,1994,Left,CM,8,CB
ITA-Serie A,2023 - 2024,Atalanta,Ademola Lookman,NGA,25,1997,Right,ST,11,ST
ITA-Serie A,2023 - 2024,Atalanta,Charles De Ketelaere,BEL,22,2001,Left,CAM,11,ST
ITA-Serie A,2023 - 2024,Atalanta,Davide Zappacosta,ITA,31,1992,Right,LM,6,RM
ITA-Serie A,2023 - 2024,Atalanta,Emil Holm,SWE,23,2000,Right,RB,12,ST
